DATAYEAR,MONTH,UTILITYNUMBER,NETSUMMERCAPACITY(MW),NETWINTERCAPACITY(MW),NAMEPLATECAPACITY(MW),is_coal,is_geothermal,is_hydroelectric,is_natural_gas,is_nuclear,is_oil,is_other/unreported,is_solar,is_wind,MW_COAL,MW_GEOTHERMAL,MW_HYDROELECTRIC,MW_NATURAL_GAS,MW_NUCLEAR,MW_OIL,MW_OTHER,MW_SOLAR,MW_WIND,TOTALREVENUE,TOTALSALES,TOTALCUSTOMERS
2016,1,3828,45.79999999999994,45.79999999999994,45.79999999999994,0.0,0.0,0.9012345679012346,0.0,0.0,0.09876543209876543,0.0,0.0,0.0,0.0,0.0,29.19999999999996,0.0,0.0,16.6,0.0,0.0,0.0,6996.179000000002,65230.286000000015,42363
2016,1,3892,57.0,57.0,57.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,4.0,0.0,0.0,0.0,3885.556,63190.106,6195
2016,1,3989,1071.6,1071.6,1071.6,0.23529411764705882,0.0,0.29411764705882354,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,462.0,0.0,34.6,575.0,0.0,0.0,0.0,0.0,0.0,35956.84399999999,397382.8590000001,222014
2016,1,4226,723.5999999999999,723.5999999999999,723.5999999999999,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,644.2,0.0,79.4,0.0,0.0,0.0,339697.0,1569563.0,2570858
2016,1,4247,31.30000000000002,31.30000000000002,31.30000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.30000000000002,0.0,0.0,0.0,0.0,0.0,0.0,3939.8249999999994,84826.72800000008,107
2016,1,4254,7754.900000000001,7754.900000000001,7754.900000000001,0.17073170731707318,0.0,0.5,0.2926829268292683,0.0,0.012195121951219513,0.0,0.0,0.024390243902439025,2852.0,0.0,2078.1,2768.0,0.0,13.0,0.0,0.0,43.8,348642.0,2881253.0,1803400
2016,1,4715,9.2,9.2,9.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,1314.1669999999997,10306.258,11530
2016,1,4922,417.3999999999998,417.3999999999998,417.3999999999998,0.0,0.0,0.0,0.4230769230769231,0.0,0.5384615384615384,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,382.3,0.0,33.99999999999999,0.0,1.1,0.0,39310.0,397203.0,278097
2016,1,5070,3.9,3.9,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,12471.0,109525.0,90833
2016,1,5109,11394.1,11394.1,11394.1,0.1415929203539823,0.0,0.0,0.24778761061946902,0.008849557522123894,0.5132743362831859,0.0,0.02654867256637168,0.061946902654867256,6856.0,0.0,0.0,2716.3999999999996,1124.0,295.0,0.0,3.9,398.8,384073.55499999976,3546260.2429999905,2165151
2016,1,5416,21489.600000000024,21489.600000000024,21489.600000000024,0.08666666666666667,0.0,0.5933333333333334,0.25333333333333335,0.04666666666666667,0.0,0.0,0.02,0.0,6821.0,0.0,3278.8,4245.299999999999,7140.299999999999,0.0,0.0,4.2,0.0,601636.145,6997868.476999999,2504799
2016,1,5701,1348.3999999999999,1348.3999999999999,1348.3999999999999,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,1347.1,0.0,0.0,0.0,0.0,1.3,52295.0,610874.0,405357
2016,1,5860,1247.0,1247.0,1247.0,0.0625,0.0,0.25,0.6875,0.0,0.0,0.0,0.0,0.0,200.0,0.0,16.0,1031.0,0.0,0.0,0.0,0.0,0.0,47560.729000000014,447936.54299999983,170291
2016,1,6022,20.1,20.1,20.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,20563.113,234791.505,93329
2016,1,6204,105.2,105.2,105.2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,75.0,0.0,0.0,0.0,0.0,0.0,7753.932,94608.402,44726
2016,1,6235,225.0,225.0,225.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,17103.0,170833.0,89034
2016,1,6452,24515.0,24515.0,24515.0,0.0,0.0,0.0,0.7176470588235294,0.047058823529411764,0.21176470588235294,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,16196.0,3572.0,4712.0,0.0,35.0,0.0,741403.0,7531697.0,4780711
2016,1,6455,9097.0,9097.0,9097.0,0.05405405405405406,0.0,0.0,0.5945945945945946,0.0,0.35135135135135137,0.0,0.0,0.0,2291.0,0.0,0.0,5561.0,0.0,1245.0,0.0,0.0,0.0,293392.761,2772355.069999995,1670411
2016,1,6779,158.0,158.0,158.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,2669.0,34757.0,14518
2016,1,7140,20699.000000000004,20699.000000000004,20699.000000000004,0.11940298507462686,0.0,0.48507462686567165,0.20149253731343283,0.029850746268656716,0.14925373134328357,0.0,0.014925373134328358,0.0,9468.5,0.0,919.0999999999997,5390.399999999999,4061.0,824.5,0.0,35.5,0.0,643578.3879999979,7359655.491000025,2454136
2016,1,7353,283.6,283.6,283.6,0.07692307692307693,0.0,0.0,0.0,0.0,0.7692307692307693,0.07692307692307693,0.0,0.07692307692307693,25.0,0.0,0.0,0.0,0.0,207.00000000000003,27.0,0.0,24.6,18177.041,117590.81799999998,45576
2016,1,7490,1524.5,1524.5,1524.5,0.10526315789473684,0.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,514.5,0.0,0.0,0.0,0.0,0.0,0.0,6118.119000000002,133340.58100000003,88
2016,1,7601,233.29999999999995,233.29999999999995,233.29999999999995,0.0,0.0,0.8125,0.0,0.0,0.15625,0.0,0.0,0.03125,0.0,0.0,90.80000000000001,0.0,0.0,72.29999999999998,0.0,0.0,70.2,55592.0,396877.0,260356
2016,1,7801,1809.0,1809.0,1809.0,0.46153846153846156,0.0,0.0,0.46153846153846156,0.0,0.07692307692307693,0.0,0.0,0.0,1281.0,0.0,0.0,496.0,0.0,32.0,0.0,0.0,0.0,104341.20200000003,891087.2339999998,450030
2016,1,8245,362.0,362.0,362.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,2779.779,35159.74,13291
2016,1,8287,180.10000000000002,180.10000000000002,180.10000000000002,0.0,0.0,0.17391304347826086,0.0,0.0,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,176.00000000000003,0.0,0.0,0.0,24660.87800000001,87714.19299999998,84021
2016,1,9187,50.4,50.4,50.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4,0.0,0.0,0.0,0.0,0.0,0.0,4298.92,77283.352,27210
